product_card_id,product_name,product_price,product_status,category_id,category_name,department_id,department_name
835,Bridgestone E6 Straight Distance Nfl Carolina,31.98999977,0,37,Electronics,6,Outdoors
276,Under Armour Women'S Ignite Slide,31.98999977,0,13,Electronics,3,Footwear
823,Titleist Pro V1X High Numbers Personalized Go,51.99000168,0,37,Electronics,6,Outdoors
203,Gopro Hero3+ Black Edition Camera,399.9899902,0,10,Strength Training,3,Footwear
364,Total Gym 1400,299.9899902,0,17,Cleats,4,Apparel
1350,Children'S Heaters,357.1000061,0,63,Children'S Clothing,4,Apparel
897,Team Golf New England Patriots Putter Grip,24.98999977,0,40,Accessories,6,Outdoors
37,Adidas Kids' F5 Messi Fg Soccer Cleat,34.99000168,0,3,Baseball & Softball,2,Fitness
172,Nike Women'S Tempo Shorts,30.0,0,9,Cardio Equipment,3,Footwear
810,Glove It Women'S Mod Oval Golf Glove,19.98999977,0,36,Golf Balls,6,Outdoors
821,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,0,37,Electronics,6,Outdoors
93,Under Armour Men'S Tech Ii T-Shirt,24.98999977,0,5,Lacrosse,2,Fitness
1347,Baby Sweater,59.08000183,0,60,Baby,4,Apparel
305,Mio Alpha Heart Rate Monitor/Sport Watch,199.0,0,38,Kids' Golf Clubs,6,Outdoors
1004,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,45,Fishing,7,Fan Shop
1346,Sports Books,31.07999992,0,59,Books,8,Book Shop
58,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,0,4,Basketball,2,Fitness
311,Polar Loop Activity Tracker,109.9499969,0,38,Kids' Golf Clubs,6,Outdoors
303,Garmin Forerunner 910Xt Gps Watch,399.9899902,0,38,Kids' Golf Clubs,6,Outdoors
1354,Dvds,164.3800049,0,67,Dvds,9,Discs Shop
1348,Cds Of Rock,11.28999996,0,61,Cds,9,Discs Shop
78,Nike Kids' Grade School Kd Vi Basketball Shoe,99.98999786,0,5,Lacrosse,2,Fitness
258,Nike Women'S Free 5.0 Tr Fit Prt 4 Training S,94.98999786,0,12,Boxing & Mma,3,Footwear
797,Hirzl Women'S Soffft Flex Golf Glove,17.98999977,0,36,Golf Balls,6,Outdoors
981,The North Face Women'S Recon Backpack,99.0,0,44,Hunting & Shooting,7,Fan Shop
1355,Lawn Mower,532.5800171,0,68,Garden,6,Outdoors
135,Nike Dri-Fit Crew Sock 6 Pack,22.0,0,7,Hockey,2,Fitness
134,Nike Women'S Legend V-Neck T-Shirt,25.0,0,7,Hockey,2,Fitness
845,Garmin Approach S4 Golf Gps Watch,299.9899902,0,38,Kids' Golf Clubs,6,Outdoors
982,Insta-Bed Neverflat Air Mattress,149.9900055,0,44,Hunting & Shooting,7,Fan Shop
625,Nike Men'S Kobe Ix Elite Low Basketball Shoe,199.9900055,0,29,Shop By Sport,5,Golf
1359,Adult Dog Supplies,84.40000153,0,72,Pet Supplies,11,Pet Shop
1356,First Aid Kit,293.0400085,0,69,Health And Beauty,12,Health And Beauty
607,Garmin Approach S3 Golf Gps Watch,249.9900055,0,41,Trade-In,6,Outdoors
1358,Rock Music,260.6499939,0,71,Music,9,Discs Shop
1362,Fighting Video Games,39.75,0,75,Video Games,9,Discs Shop
295,Fitbit The One Wireless Activity & Sleep Trac,99.94999695,0,38,Kids' Golf Clubs,6,Outdoors
127,Stiga Master Series St3100 Competition Indoor,329.9899902,0,7,Hockey,2,Fitness
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902,0,4,Basketball,2,Fitness
35,Adidas Brazuca 2014 Official Match Ball,159.9900055,0,3,Baseball & Softball,2,Fitness
858,Golfbuddy Vt3 Gps Watch,199.9900055,0,38,Kids' Golf Clubs,6,Outdoors
860,Bushnell Pro X7 Jolt Slope Rangefinder,599.9899902,0,38,Kids' Golf Clubs,6,Outdoors
216,Yakima Doubledown Ace Hitch Mount 4-Bike Rack,189.0,0,10,Strength Training,3,Footwear
19,Nike Men'S Fingertrap Max Training Shoe,124.9899979,0,2,Soccer,2,Fitness
226,Bowflex Selecttech 1090 Dumbbells,599.9899902,0,11,Fitness Accessories,3,Footwear
208,Sole E35 Elliptical,1999.98999,0,10,Strength Training,3,Footwear
793,Hirzl Women'S Hybrid Golf Glove,14.98999977,0,36,Golf Balls,6,Outdoors
792,Hirzl Men'S Hybrid Golf Glove,14.98999977,0,36,Golf Balls,6,Outdoors
786,Taylormade 2014 Purelite Stand Bag,179.9900055,0,35,Golf Gloves,6,Outdoors
778,Bag Boy Beverage Holder,24.98999977,0,35,Golf Gloves,6,Outdoors
777,Bag Boy M330 Push Cart,79.98999786,0,35,Golf Gloves,6,Outdoors
775,Clicgear 8.0 Shoe Brush,9.989999771,0,35,Golf Gloves,6,Outdoors
773,Titleist Small Wheeled Travel Cover,249.9900055,0,35,Golf Gloves,6,Outdoors
771,Clicgear Rovic Cooler Bag,39.99000168,0,35,Golf Gloves,6,Outdoors
768,Titleist Club Glove Travel Cover,299.9899902,0,35,Golf Gloves,6,Outdoors
743,Ogio Race Golf Shoes,169.9900055,0,34,Golf Bags & Carts,6,Outdoors
730,Lija Women'S Argyle Golf Polo,80.0,0,33,Golf Shoes,6,Outdoors
728,Lija Women'S Eyelet Sleeveless Golf Polo,65.0,0,33,Golf Shoes,6,Outdoors
725,Lija Women'S Button Golf Dress,108.0,0,33,Golf Shoes,6,Outdoors
724,Lija Women'S Mid-Length Panel Golf Shorts,100.0,0,33,Golf Shoes,6,Outdoors
715,Taylormade Women'S Rbz Sl Rescue,129.9900055,0,32,Golf Apparel,6,Outdoors
705,Cleveland Golf Women'S 588 Rtx Cb Satin Chrom,119.9899979,0,32,Golf Apparel,6,Outdoors
703,Top Flite Women'S 2014 Xl Hybrid,19.98999977,0,32,Golf Apparel,6,Outdoors
691,Mdgolf Pittsburgh Penguins Putter,79.98999786,0,31,Women'S Golf Clubs,6,Outdoors
677,Taylormade White Smoke In-12 Putter,99.98999786,0,31,Women'S Golf Clubs,6,Outdoors
671,Cleveland Golf Collegiate My Custom Wedge 588,209.9900055,0,31,Women'S Golf Clubs,6,Outdoors
666,Merrell Men'S All Out Flash Trail Running Sho,109.9899979,0,30,Men'S Golf Clubs,6,Outdoors
652,Merrell Women'S Grassbow Sport Waterproof Hik,129.9900055,0,30,Men'S Golf Clubs,6,Outdoors
647,Merrell Women'S Siren Mid Waterproof Hiking B,134.9900055,0,30,Men'S Golf Clubs,6,Outdoors
646,Merrell Women'S Grassbow Sport Hiking Shoe,99.98999786,0,30,Men'S Golf Clubs,6,Outdoors
1361,Toys,11.53999996,0,74,Toys,7,Fan Shop
1073,Pelican Sunstream 100 Kayak,199.9900055,0,48,Water Sports,7,Fan Shop
1059,Pelican Maverick 100X Kayak,349.9899902,0,48,Water Sports,7,Fan Shop
1014,O'Brien Men'S Neoprene Life Vest,49.97999954,0,46,Indoor/Outdoor Games,7,Fan Shop
